z Employment Rate,z Individual Income Normalized,z Fraction Married,z Incarceration Rate,z Number of Children Normalized
0.540988803,0.978355332,0.93882713,0.908666659,1.018191682
0.540988803,0.977157488,0.93882713,0.889485127,1.014806808
0.539894464,0.971567553,0.93882713,0.889485127,1.009729497
0.538800124,0.967774383,0.928340865,0.889485127,1.004652186
0.538800124,0.946612486,0.928340865,0.889485127,1.004652186
0.537705785,0.937628661,0.926243612,0.879894362,0.99619
0.535517106,0.932837288,0.924146359,0.870303596,0.984342941
0.535517106,0.92984268,0.914708721,0.86071283,0.974188318
0.535517106,0.924252745,0.906319709,0.86071283,0.964033696
0.534422767,0.921657418,0.906319709,0.851122065,0.960648822
0.533328427,0.911076469,0.904222456,0.851122065,0.953879074
0.533328427,0.909878626,0.903173829,0.841531299,0.953879074
0.532234088,0.905885815,0.902125203,0.841531299,0.952186636
0.52895107,0.904488331,0.898979323,0.831940533,0.952186636
0.52785673,0.901493723,0.895833444,0.822349768,0.950494199
0.525668051,0.899497318,0.892687565,0.822349768,0.947109325
0.521290694,0.898898396,0.87905542,0.822349768,0.947109325
0.519102015,0.898099834,0.873812288,0.822349768,0.942032014
0.518007675,0.884324637,0.871715035,0.822349768,0.931877392
0.518007675,0.877936139,0.869617782,0.822349768,0.931877392
0.515818996,0.873344407,0.868569156,0.812759002,0.923415206
0.515818996,0.862963099,0.86437465,0.812759002,0.920030332
0.514724657,0.859369569,0.862277397,0.803168236,0.916645458
0.513630318,0.852981072,0.86122877,0.783986705,0.914953021
0.50925296,0.852581791,0.859131517,0.783986705,0.90987571
0.507064281,0.847990058,0.851791132,0.774395939,0.908183272
0.507064281,0.846392934,0.84340212,0.774395939,0.906490835
0.505969942,0.844596169,0.835013108,0.774395939,0.903105961
0.504875602,0.843597966,0.835013108,0.764805174,0.903105961
0.504875602,0.840603358,0.833964482,0.764805174,0.886181591
0.504875602,0.836011626,0.824526844,0.764805174,0.881104279
0.503781263,0.831220253,0.821380964,0.764805174,0.877719405
0.500498244,0.828425285,0.817186458,0.755214408,0.877719405
0.499403905,0.816446853,0.815089205,0.755214408,0.876026968
0.499403905,0.812653682,0.814040579,0.755214408,0.874334531
0.499403905,0.812254401,0.808797446,0.755214408,0.872642094
0.499403905,0.806265185,0.808797446,0.755214408,0.870949657
0.498309565,0.793687831,0.80774882,0.755214408,0.86925722
0.497215226,0.790493582,0.804602941,0.745623642,0.855717723
0.496120887,0.787898255,0.799359808,0.745623642,0.855717723
0.495026547,0.78230832,0.796213929,0.726442111,0.850640412
0.495026547,0.778115869,0.795165302,0.726442111,0.848947975
0.492837868,0.776518744,0.793068049,0.726442111,0.845563101
0.492837868,0.764540312,0.78992217,0.716851345,0.843870664
0.492837868,0.764340671,0.788873543,0.716851345,0.842178227
0.492837868,0.758750736,0.788873543,0.70726058,0.838793352
0.492837868,0.754957566,0.787824917,0.70726058,0.835408478
0.491743529,0.753959363,0.783630411,0.70726058,0.835408478
0.487366171,0.751563677,0.776290026,0.70726058,0.832023604
0.486271832,0.747970147,0.77209552,0.697669814,0.832023604
0.486271832,0.746173382,0.771046893,0.697669814,0.832023604
0.484083153,0.744376617,0.767901014,0.697669814,0.82863873
0.482988813,0.741980931,0.766852387,0.678488283,0.821868982
0.482988813,0.740982728,0.764755134,0.678488283,0.820176545
0.478611456,0.738587042,0.760560629,0.678488283,0.818484107
0.478611456,0.737588839,0.757414749,0.678488283,0.81679167
0.478611456,0.735991715,0.749025737,0.668897517,0.808329485
0.477517116,0.734594231,0.741685352,0.668897517,0.804944611
0.476422777,0.731000701,0.738539473,0.659306751,0.784635366
0.475328437,0.728205733,0.735393593,0.659306751,0.782942929
0.475328437,0.722216517,0.724907328,0.649715986,0.781250492
0.475328437,0.720220112,0.721761449,0.649715986,0.772788306
0.474234098,0.717624785,0.720712822,0.649715986,0.771095869
0.473139759,0.717425144,0.719664196,0.64012522,0.764326121
0.472045419,0.716826223,0.71546969,0.64012522,0.764326121
0.468762401,0.707243477,0.713372437,0.630534454,0.754171499
0.468762401,0.706245274,0.708129305,0.620943689,0.749094187
0.468762401,0.695265044,0.700788919,0.620943689,0.74740175
0.467668061,0.69366792,0.691351281,0.611352923,0.74740175
0.466573722,0.692070795,0.690302655,0.611352923,0.745709313
0.466573722,0.684883736,0.690302655,0.611352923,0.744016876
